04001;Abla;Abla;Q322064
04002;Abrucena;Abrucena;Q1110408
04003;Adra;Adra;Q49562
04004;Albánchez;Albanchez;Q1358190
04005;Alboloduy;Alboloduy;Q1444150
04006;Albox;Albox;Q1404671
04007;Alcolea;Alcolea (Almería);Q1444083
04008;Alcóntar;Alcóntar;Q1370152
04009;Alcudia de Monteagud;Alcudia de Monteagud;Q596058
04010;Alhabia;Alhabia;Q1444015
04011;Alhama de Almería;Alhama de Almería;Q583010
04012;Alicún;Alicún;Q1358253
04013;Almería;Almería;Q10400
04014;Almócita;Almócita;Q736985
04015;Alsodux;Alsodux;Q1444197
04016;Antas;Antas;Q1444119
04017;Arboleas;Arboleas;Q1157985
04018;Armuña de Almanzora;Armuña de Almanzora;Q1358156
04019;Bacares;Bacares;Q1157977
04020;Bayárcal;Bayárcal;Q1358116
04021;Bayarque;Bayarque;Q1358082
04022;Bédar;Bédar;Q613454
04023;Beires;Beires;Q967096
04024;Benahadux;Benahadux;Q1157968
04026;Benitagla;Benitagla;Q1161460
04027;Benizalón;Benizalón;Q1444189
04028;Bentarique;Bentarique;Q1358058
04029;Berja;Berja;Q491929
04030;Canjáyar;Canjáyar;Q1157972
04031;Cantoria;Cantoria;Q1358268
04032;Carboneras;Carboneras;Q1110337
04033;Castro de Filabres;Castro de Filabres;Q1407470
04036;Chercos;Chercos;Q1358286
04037;Chirivel;Chirivel;Q1048769
04034;Cóbdar;Cóbdar;Q1358142
04035;Cuevas del Almanzora;Cuevas del Almanzora;Q1048762
04038;Dalías;Dalías;Q1110389
04902;Ejido, El;El Ejido;Q493933
04041;Enix;Enix (Almería);Q947285
04043;Felix;Felix (Almería);Q1358222
04044;Fines;Fines;Q668962
04045;Fiñana;Fiñana;Q1157964
04046;Fondón;Fondón;Q1358351
04047;Gádor;Gádor;Q940842
04048;Gallardos, Los;Los Gallardos;Q1407152
04049;Garrucha;Garrucha (Almería);Q1407478
04050;Gérgal;Gérgal;Q1358171
04051;Huécija;Huécija;Q695550
04052;Huércal de Almería;Huércal de Almería;Q5277
04053;Huércal-Overa;Huércal-Overa;Q1372614
04054;Illar;Íllar;Q1157982
04055;Instinción;Instinción;Q1358130
04056;Laroya;Laroya;Q1358100
04057;Láujar de Andarax;Laujar de Andarax;Q695536
04058;Líjar;Líjar;Q1358320
04059;Lubrín;Lubrín;Q629609
04060;Lucainena de las Torres;Lucainena de las Torres;Q1358027
04061;Lúcar;Lúcar;Q1358237
04062;Macael;Macael;Q1161455
04063;María;María (Almería);Q1157981
04064;Mojácar;Mojácar;Q496968
04903;Mojonera, La;La Mojonera;Q1407170
04065;Nacimiento;Nacimiento (Almería);Q1632018
04066;Níjar;Níjar;Q1110355
04067;Ohanes;Ohanes;Q1445206
04068;Olula de Castro;Olula de Castro;Q1445226
04069;Olula del Río;Olula del Río;Q1358205
04070;Oria;Oria (Almería);Q1444097
04071;Padules;Padules;Q1447755
04072;Partaloa;Partaloa;Q1451150
04073;Paterna del Río;Paterna del Río;Q1447785
04074;Pechina;Pechina (Almería);Q1447741
04075;Pulpí;Pulpí;Q1157960
04076;Purchena;Purchena;Q1445232
04077;Rágol;Rágol;Q1601826
04078;Rioja;Rioja (Almería);Q1444073
04079;Roquetas de Mar;Roquetas de Mar;Q499184
04080;Santa Cruz de Marchena;Santa Cruz de Marchena;Q1611733
04081;Santa Fe de Mondújar;Santa Fe de Mondújar;Q1611790
04082;Senés;Senés;Q1628441
04083;Serón;Serón;Q1606427
04084;Sierro;Sierro;Q1628481
04085;Somontín;Somontín;Q1628474
04086;Sorbas;Sorbas;Q842658
04087;Suflí;Suflí;Q1605856
04088;Tabernas;Tabernas;Q1444062
04089;Taberno;Taberno;Q1611880
04090;Tahal;Tahal;Q1611746
04091;Terque;Terque;Q1611807
04092;Tíjola;Tíjola;Q284894
04901;Tres Villas, Las;Las Tres Villas;Q1447770
04093;Turre;Turre;Q1358302
04094;Turrillas;Turrillas;Q1406739
04095;Uleila del Campo;Uleila del Campo;Q1447729
04096;Urrácal;Urrácal;Q1611758
04097;Velefique;Velefique;Q980597
04098;Vélez-Blanco;Vélez-Blanco;Q576710
04099;Vélez-Rubio;Vélez-Rubio;Q1110343
04100;Vera;Vera (Almería);Q1157971
04101;Viator;Viator (Almería);Q1444040
04102;Vícar;Vícar;Q1110397
04103;Zurgena;Zurgena;Q1110365
