02001;Abengibre;Abengibre;Q559227
02002;Alatoz;Alatoz;Q559211
02003;Albacete;Albacete;Q15095
02004;Albatana;Albatana;Q559221
02005;Alborea;Alborea;Q559216
02006;Alcadozo;Alcadozo;Q559134
02007;Alcalá del Júcar;Alcalá del Júcar;Q559148
02008;Alcaraz;Alcaraz;Q559140
02009;Almansa;Almansa;Q13930
02010;Alpera;Alpera;Q559144
02011;Ayna;Aýna;Q1606086
02012;Balazote;Balazote;Q574364
02014;Ballestero, El;El Ballestero;Q575814
02013;Balsa de Ves;Balsa de Ves;Q1606095
02015;Barrax;Barrax;Q1606184
02016;Bienservida;Bienservida;Q574369
02017;Bogarra;Bogarra;Q1606133
02018;Bonete;Bonete (Albacete);Q943394
02019;Bonillo, El;El Bonillo;Q54883
02020;Carcelén;Carcelén;Q574372
02021;Casas de Juan Núñez;Casas de Juan Núñez;Q574366
02022;Casas de Lázaro;Casas de Lázaro;Q574370
02023;Casas de Ves;Casas de Ves;Q1606156
02024;Casas-Ibáñez;Casas-Ibáñez;Q575715
02025;Caudete;Caudete (Albacete);Q1606055
02026;Cenizate;Cenizate;Q575811
02029;Chinchilla de Monte-Aragón;Chinchilla de Monte-Aragón;Q575893
02027;Corral-Rubio;Corral-Rubio;Q575718
02028;Cotillas;Cotillas;Q575722
02030;Elche de la Sierra;Elche de la Sierra;Q575812
02031;Férez;Férez;Q782032
02032;Fuensanta;Fuensanta;Q1635176
02033;Fuente-Álamo;Fuente Álamo (Albacete);Q599774
02034;Fuentealbilla;Fuentealbilla;Q389171
02035;Gineta, La;La Gineta;Q1614683
02036;Golosalvo;Golosalvo;Q1373963
02037;Hellín;Hellín;Q842652
02038;Herrera, La;La Herrera;Q582784
02039;Higueruela;Higueruela;Q1615193
02040;Hoya-Gonzalo;Hoya-Gonzalo;Q1623088
02041;Jorquera;Jorquera (Albacete);Q1633451
02042;Letur;Letur;Q582823
02043;Lezuza;Lezuza;Q582778
02044;Liétor;Liétor;Q582808
02045;Madrigueras;Madrigueras;Q582891
02046;Mahora;Mahora;Q54878
02047;Masegoso;Masegoso (Albacete);Q384843
02048;Minaya;Minaya;Q582832
02049;Molinicos;Molinicos;Q192390
02050;Montalvos;Montalvos;Q1623045
02051;Montealegre del Castillo;Montealegre del Castillo;Q593904
02052;Motilleja;Motilleja;Q593895
02053;Munera;Munera;Q941956
02054;Navas de Jorquera;Navas de Jorquera;Q593516
02055;Nerpio;Nerpio;Q593528
02056;Ontur;Ontur;Q1614888
02057;Ossa de Montiel;Ossa de Montiel;Q593918
02058;Paterna del Madera;Paterna del Madera;Q683624
02060;Peñas de San Pedro;Peñas de San Pedro;Q1623065
02059;Peñascosa;Peñascosa;Q1614899
02061;Pétrola;Pétrola;Q605252
02062;Povedilla;Povedilla;Q605270
02901;Pozo Cañada;Pozo Cañada;Q605265
02063;Pozohondo;Pozohondo;Q1623146
02064;Pozo-Lorente;Pozo-Lorente;Q605229
02065;Pozuelo;Pozuelo (Albacete);Q605218
02066;Recueja, La;La Recueja;Q582911
02067;Riópar;Riópar;Q605263
02068;Robledo;Robledo (Albacete);Q1615209
02069;Roda, La;La Roda (Albacete);Q630706
02070;Salobre;Salobre (Albacete);Q1602450
02071;San Pedro;San Pedro (Albacete);Q1647551
02072;Socovos;Socovos;Q652654
02073;Tarazona de la Mancha;Tarazona de la Mancha;Q611263
02074;Tobarra;Tobarra;Q1622986
02075;Valdeganga;Valdeganga;Q54877
02076;Vianos;Vianos;Q609870
02077;Villa de Ves;Villa de Ves;Q609882
02078;Villalgordo del Júcar;Villalgordo del Júcar;Q611274
02079;Villamalea;Villamalea;Q609894
02080;Villapalacios;Villapalacios;Q615093
02081;Villarrobledo;Villarrobledo;Q82030
02082;Villatoya;Villatoya;Q615081
02083;Villavaliente;Villavaliente;Q615067
02084;Villaverde de Guadalimar;Villaverde de Guadalimar;Q615103
02085;Viveros;Viveros (Albacete);Q1614659
02086;Yeste;Yeste (Albacete);Q618586
